grouptax;sortnophyl;id;sname;authorship;rank;uninomen;accepted;related_to_accepted;basionym;fk_aphia_basionym;protonym;remarks;parent_id;fk_telangio_taxon;phylum;authonym;year;sortnospe;nothonym;prefavatar;fk_ref_morphonym;comnames;comnames_languages;fk_ref_comnames;taxonp;taxongp;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;workfield;status_synonymy;status_onym;status_chresonym;Fossil
Harpacticoida;97130;88235;Attheyella trispinosa;(Brady, 1880);Species;trispinosa;1;88235;0;;0;;88221;88221;Harpacticoida;Brady;1880;96939;0;1;;;;;Attheyella;Canthocamptidae;;357366;716323;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97160;88237;Attheyella wulmeri;(Kerhervé, 1914);Species;wulmeri;1;88237;0;;0;;88221;88221;Harpacticoida;Kerhervé;1914;96945;0;1;;;;;Attheyella;Canthocamptidae;;357371;718761;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97090;88238;Attheyella northumbricoides;Willey, 1925;Species;northumbricoides;1;88238;1;349114;1;;88221;88221;Harpacticoida;Willey;1925;96931;0;1;;;;;Attheyella;Canthocamptidae;;349114;719321;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96970;88239;Attheyella dogieli;(Rylov, 1923);Species;dogieli;1;88239;0;;0;;88221;88221;Harpacticoida;Rylov;1923;96907;0;1;;;;;Attheyella;Canthocamptidae;;357331;851813;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97165;88241;Attheyella pilosa;Chappuis, 1929;Species;pilosa;1;88241;1;349124;1;;88221;88221;Harpacticoida;Chappuis;1929;98598;0;1;;;;;Attheyella;Canthocamptidae;;349124;851825;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96910;88242;Attheyella borutzkyi;Smirnov, 1930;Species;borutzkyi;1;88242;1;349070;1;;88221;88221;Harpacticoida;Smirnov;1930;96897;0;1;;;;;Attheyella;Canthocamptidae;;349070;719322;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96925;88243;Attheyella carolinensis;Chappuis, 1932;Species;carolinensis;1;88243;1;349075;1;;88221;88221;Harpacticoida;Chappuis;1932;96900;0;1;;;;;Attheyella;Canthocamptidae;;349075;349075;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97135;88244;Attheyella ussuriensis;Rylov, 1933;Species;ussuriensis;1;88244;1;357367;1;;88221;88221;Harpacticoida;Rylov;1933;96940;0;1;;;;;Attheyella;Canthocamptidae;;357367;719334;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96940;88248;Attheyella crenulata;(Mrázek, 1901);Species;crenulata;1;88248;0;;0;;88221;88221;Harpacticoida;Mrázek;1901;96903;0;1;;;;;Attheyella;Canthocamptidae;;349082;715048;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96895;88249;Attheyella australica;Sars G.O., 1908;Species;australica;1;88249;1;349066;1;;88221;88221;Harpacticoida;Sars G.O.;1908;96894;0;1;;;;;Attheyella;Canthocamptidae;;349066;716747;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96995;88250;Attheyella fuhrmanni;(Thiébaud, 1912);Species;fuhrmanni;1;88250;0;;0;;88221;88221;Harpacticoida;Thiébaud;1912;96912;0;1;;;;;Attheyella;Canthocamptidae;;357334;715015;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97000;88251;Attheyella godeti;(Delachaux, 1918);Species;godeti;1;88251;0;;0;;88221;88221;Harpacticoida;Delachaux;1918;96913;0;1;;;;;Attheyella;Canthocamptidae;;357336;715074;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97020;88253;Attheyella huaronensis;(Delachaux, 1918);Species;huaronensis;1;88253;0;;0;;88221;88221;Harpacticoida;Delachaux;1918;96917;0;1;;;;;Attheyella;Canthocamptidae;;357341;716306;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97005;88255;Attheyella guyanensis;(Delachaux, 1924);Species;guyanensis;1;88255;0;;0;;88221;88221;Harpacticoida;Delachaux;1924;96914;0;1;;;;;Attheyella;Canthocamptidae;;357339;716852;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97100;88257;Attheyella oculta;Ebert, 1976;Species;oculta;1;88257;1;360917;1;;88221;88221;Harpacticoida;Ebert;1976;96933;0;1;;;;;Attheyella;Canthocamptidae;;360917;715055;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96965;88259;Attheyella derelicta;(Brian, 1927);Species;derelicta;1;88259;0;;0;;88221;88221;Harpacticoida;Brian;1927;96906;0;1;;;;;Attheyella;Canthocamptidae;;357330;357334;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97115;88261;Attheyella ruttneri;Chappuis, 1931;Species;ruttneri;1;88261;1;349130;1;;88221;88221;Harpacticoida;Chappuis;1931;96936;0;1;;;;;Attheyella;Canthocamptidae;;349130;717139;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97070;88262;Attheyella minuta;Chappuis, 1931;Species;minuta;1;88262;1;349107;1;;88221;88221;Harpacticoida;Chappuis;1931;96927;0;1;;;;;Attheyella;Canthocamptidae;;349107;717115;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97040;88263;Attheyella inopinata;Chappuis, 1931;Species;inopinata;1;88263;1;349097;1;;88221;88221;Harpacticoida;Chappuis;1931;96921;0;1;;;;;Attheyella;Canthocamptidae;;349097;716859;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97055;88264;Attheyella lanata;(Mrázek, 1901);Species;lanata;1;88264;0;;0;;88221;88221;Harpacticoida;Mrázek;1901;96924;0;1;;;;;Attheyella;Canthocamptidae;;357346;718975;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97125;88266;Attheyella trigonura;(Ekman, 1905);Species;trigonura;1;88266;0;;0;;88221;88221;Harpacticoida;Ekman;1905;96938;0;1;;;;;Attheyella;Canthocamptidae;;357365;718977;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96885;88267;Attheyella aculeata;(Thiébaud, 1912);Species;aculeata;1;88267;0;;0;;88221;88221;Harpacticoida;Thiébaud;1912;96892;0;1;;;;;Attheyella;Canthocamptidae;;357315;715020;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97045;88268;Attheyella insignis;(Delachaux, 1918);Species;insignis;1;88268;0;;0;;88221;88221;Harpacticoida;Delachaux;1918;96922;0;1;;;;;Attheyella;Canthocamptidae;;357345;715027;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97065;88270;Attheyella maxima;(Delachaux, 1918);Species;maxima;1;88270;0;;0;;88221;88221;Harpacticoida;Delachaux;1918;96926;0;1;;;;;Attheyella;Canthocamptidae;;357348;715028;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96985;88271;Attheyella ferox;(Delachaux, 1918);Species;ferox;1;88271;0;;0;;88221;88221;Harpacticoida;Delachaux;1918;96910;0;1;;;;;Attheyella;Canthocamptidae;;357333;716151;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97060;88273;Attheyella lanceolata;(Delachaux, 1918);Species;lanceolata;1;88273;0;;0;;88221;88221;Harpacticoida;Delachaux;1918;96925;0;1;;;;;Attheyella;Canthocamptidae;;357347;716152;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97015;88275;Attheyella horvathi;(Chappuis, 1924);Species;horvathi;1;88275;0;;0;;88221;88221;Harpacticoida;Chappuis;1924;96916;0;1;;;;;Attheyella;Canthocamptidae;;359600;718889;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96945;88277;Attheyella dadayi;(Chappuis, 1924);Species;dadayi;1;88277;0;;0;;88221;88221;Harpacticoida;Chappuis;1924;96904;0;1;;;;;Attheyella;Canthocamptidae;;359601;718888;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97010;88279;Attheyella hannae;(Kiefer, 1926);Species;hannae;1;88279;0;;0;;88221;88221;Harpacticoida;Kiefer;1926;96915;0;1;;;;;Attheyella;Canthocamptidae;;357340;718779;;NB;19/4/2016 00:00:00;;;;;;;0
